The	﻿the
Scheiteln.	scheiteln
In	in
ihrer	ihrer
Liebe	liebe
blühte	blühte
erst	erst
mein	mein
Ich;	ich;
sie	sie
könnte	könnte
jenen	jenen
wilden	wilden
Haß	haß
vereiteln,	vereiteln
der	der
eisig	eisig
sich	sich
in	in
meine	meine
Seele	seele
schlich.	schlich
Dann	dann
säßen	säßen
wir	wir
wohl	wohl
beieinander	beieinander
dicht,	dicht
ein	ein
Feuer	feuer
surrte	surrte
leise	leise
im	im
Kamine.	kamine
Ich	ich
lauschte,	lauschte
was	was
die	die
liebe	liebe
Lippe	lippe
spricht,	spricht
und	und
Friede	friede
schwebte	schwebte
ob	ob
der	der
Teeterrine	teeterrine
so	so
wie	wie
ein	ein
Falter	falter
um	um
das	das
Lampenlicht.	lampenlicht
Mir	mir
ist	ist
oft,	oft
daß	daß
ich	ich
fragen	fragen
müßt:	müßt:
Du,	du
Mutter,	mutter
was	was
hast	hast
du	du
gesungen,	gesungen
eh	eh
deinem	deinem
blassen,	blassen
blonden	blonden
Jungen	jungen
der	der
Schlaf	schlaf
die	die
Wangen	wangen
warm	warm
geküßt?	geküßt?
Hattest	hattest
du	du
damals	damals
sehr	sehr
viel	viel
Gram?	gram?
Und	und
weißt	weißt
du,	du
wie	wie
du	du
aufgesprungen,	aufgesprungen
wenn	wenn
deinem	deinem
blassen,	blassen
blonden	blonden
Jungen	jungen
im	im
tiefen	tiefen
Traum	traum
ein	ein
Weinen	weinen
kam?	kam?
Ich	ich
gehe	gehe
unter	unter
roten	roten
Zweigen	zweigen
und	und
suche	suche
einen	einen
späten	späten
Strauß.	strauß
Weiß	weiß
nicht	nicht
vor	vor
Glück	glück
wo	wo
ein	ein
und	und
aus,	aus
mir	mir
ist	ist
so	so
neu,	neu
mir	mir
ist	ist
so	so
eigen:	eigen:
Mein	mein
Lieb	lieb
ist	ist
müd	müd
und	und
ist	ist
zu	zu
Haus.	haus
Jetzt	jetzt
ist	ist
mein	mein
Mädel	mädel
erst	erst
recht	recht
eitel,	eitel
seit	seit
sich	sich
sein	sein
Mieder	mieder
weiter	weiter
zieht,	zieht
und	und
seit	seit
ein	ein
Wunder	wunder
ihm	ihm
geschieht:	geschieht:
Bald	bald
hat	hat
es	es
breite	breite
braune	braune
Scheitel	scheitel
und	und
sitzt	sitzt
und	und
singt	singt
ein	ein
Wiegenlied.	wiegenlied
Leise	leise
weht	weht
ein	ein
erstes	erstes
Blühn	blühn
von	von
den	den
Lindenbäumen,	lindenbäumen
und,	und
in	in
meinen	meinen
Träumen	träumen
kühn,	kühn
seh	seh
ich	ich
dich	dich
im	im
Laubengrün	laubengrün
hold	hold
im	im
ersten	ersten
Muttermühn	muttermühn
Kinderhemdchen	kinderhemdchen
säumen.	säumen
Singst	singst
ein	ein
kleines	kleines
Lied	lied
dabei,	dabei
und	und
dein	dein
Lied	lied
klingt	klingt
in	in
den	den
Mai:	mai:
Blühe,	blühe
blühe,	blühe
Blütenbaum,	blütenbaum
tief	tief
im	im
trauten	trauten
Garten.	garten
Blühe,	blühe
blühe,	blühe
Blütenbaum,	blütenbaum
meiner	meiner
Sehnsucht	sehnsucht
schönsten	schönsten
Traum	traum
will	will
ich	ich
hier	hier
erwarten.	erwarten
Blühe,	blühe
blühe	blühe
Blütenbaum,	blütenbaum
Sommer	sommer
wird	wird
dirs	dirs
zahlen.	zahlen
Blühe,	blühe
blühe,	blühe
Blütenbaum.	blütenbaum
Schau,	schau
ich	ich
säume	säume
einen	einen
Saum	saum
hier	hier
mit	mit
Sonnenstrahlen.	sonnenstrahlen
Blühe,	blühe
blühe,	blühe
Blürenbaum,	blürenbaum
balde	balde
kommt	kommt
das	das
Reifen.	reifen
Blühe,	blühe
blühe,	blühe
Blütenbaum,	blütenbaum
meiner	meiner
Sehnsucht	sehnsucht
schönsten	schönsten
Traum	traum
lehr	lehr
mich,	mich
ihn	ihn
begreifen.	begreifen
Singst	singst
ein	ein
kleines	kleines
Lied	lied
dabei,	dabei
und	und
dein	dein
Lied	lied
ist	ist
lauter	lauter
Mai.	mai
Und	und
der	der
Blütenbaum	blütenbaum
wird	wird
blühn,	blühn
blühn	blühn
vor	vor
allen	allen
Bäumen,	bäumen
sonnig	sonnig
wird	wird
dein	dein
Saum	saum
erglühn,	erglühn
und	und
verklärt	verklärt
im	im
Laubengrün	laubengrün
wird	wird
dein	dein
junges	junges
Muttermühn	muttermühn
Kinderhemdchen	kinderhemdchen
säumen.	säumen
Und	und
reden	reden
sie	sie
dir	dir
jetzt	jetzt
von	von
Schande,	schande
da	da
Schmerz	schmerz
und	und
Sorge	sorge
dich	dich
durchirrt,--	durchirrt,--
o,	o
lächle,	lächle
Weib!	weib
Du	du
stehst	stehst
am	am
Rande	rande
des	des
Wunders,	wunders
das	das
dich	dich
weihen	weihen
wird.	wird
Fühlst	fühlst
du	du
in	in
dir	dir
das	das
scheue	scheue
Schwellen,	schwellen
und	und
Leib	leib
und	und
Seele	seele
wird	wird
dir	dir
weit--	weit--
o,	o
bete,	bete
Weib!	weib
Das	das
sind	sind
die	die
Wellen	wellen
der	der
Ewigkeit.	ewigkeit
DER	der
BLONDE	blonde
KNABE	knabe
SINGT:	singt:
Was	was
weinst	weinst
du,	du
Mutter?	mutter?
Ist	ist
das	das
Spind	spind
auch	auch
bettelleer,--sei	bettelleer,--sei
gut!	gut
Ich	ich
bin	bin
dein	dein
blondes	blondes
Kronenkind,	kronenkind
und	und
du	du
hast	hast
Edelblut.	edelblut
Ich	ich
schaute	schaute
ja,	ja
du	du
weißt	weißt
es	es
nicht,--	nicht,--
wie	wie
du	du
so	so
oft	oft
noch	noch
spät	spät
beim	beim
morgenmatten	morgenmatten
Lampenlicht	lampenlicht
dein	dein
Königskleid	königskleid
genäht.	genäht
So	so
bist	bist
du	du
eine	eine
Königin,	königin
und	und
sei	sei
nicht	nicht
bang	bang
und	und
zag--	zag--
und	und
bis	bis
Ich	ich
erst	erst
krafteigen	krafteigen
bin,	bin
kommt	kommt
unser	unser
Königs	königs
tag.	tag
DIE	die
MUTTER:	mutter:
"""Liebling,"	"""liebling"
hast	hast
du	du
"gerufen?"""	"gerufen?"""
Es	es
war	war
ein	ein
Wort	wort
im	im
Wind.	wind
"""Wie"	"""wie"
viele	viele
steile	steile
Stufen	stufen
sind	sind
noch	noch
bis	bis
zu	zu
dir,	dir
mein	mein
"Kind?""--"	"kind?""--"
Da	da
fand	fand
ihre	ihre
Stimme	stimme
die	die
Sterne,	sterne
fand	fand
aber	aber
die	die
Tochter	tochter
nicht.	nicht
Im	im
Tale	tale
in	in
tiefer	tiefer
Taverne	taverne
löschte	löschte
ein	ein
letztes	letztes
Licht.	licht
Manchmal	manchmal
fühlt	fühlt
sie:	sie:
Das	das
Leben	leben
ist	ist
groß,	groß
wilder,	wilder
wie	wie
Strüme,	strüme
die	die
schäumen,	schäumen
wilder,	wilder
wie	wie
Sturm	sturm
in	in
den	den
Bäumen.	bäumen
Und	und
leise	leise
läßt	läßt
sie	sie
die	die
Stunden	stunden
los	los
und	und
schenkt	schenkt
ihre	ihre
Seele	seele
den	den
Träumen.	träumen
Dann	dann
erwacht	erwacht
sie.	sie
Da	da
steht	steht
ein	ein
Stern	stern
still	still
überm	überm
leisen	leisen
Gelände,	gelände
und	und
ihr	ihr
Haus	haus
hat	hat
ganz	ganz
weiße	weiße
Wände--	wände--
Da	da
weiß	weiß
sie:	sie:
Das	das
Leben	leben
ist	ist
fremd	fremd
und	und
fern--	fern--
und	und
faltet	faltet
die	die
alternden	alternden
Hände.	hände
INHALT	inhalt
LARENOPFER	larenopfer
(1896)	(1896)
Im	im
alten	alten
Hause	hause
Auf	auf
der	der
Kleinseite	kleinseite
Ein	ein
Adelshaus	adelshaus
Der	der
Hradschin	hradschin
Bei	bei
St.	st
Veit	veit
Im	im
Dome	dome
In	in
der	der
Kapelle	kapelle
St.	st
Wenzels	wenzels
Vom	vom
Lugaus	lugaus
Der	der
Bau	bau
Im	im
Stübchen	stübchen
Zauber	zauber
Ein	ein
anderes	anderes
Noch	noch
eines	eines
Und	und
das	das
letzte	letzte
Im	im
Erkerstübchen	erkerstübchen
Der	der
Novembertag	novembertag
Im	im
Straßenkapellchen	straßenkapellchen
Das	das
Kloster	kloster
Bei	bei
den	den
Kapuzinern	kapuzinern
Abend	abend
Jar.	jar
Vrchlický	vrchlický
Im	im
Kreuzgang	kreuzgang
von	von
Loretto	loretto
Der	der
junge	junge
Bildner	bildner
Frühling	frühling
Land	land
und	und
Volk	volk
Der	der
Engel	engel
Allerseelen	allerseelen
I.	i
II.	ii
Bei	bei
Nacht	nacht
Abend	abend
Auf	auf
dem	dem
Wolschan	wolschan
I	i
II	ii
Wintermorgen	wintermorgen
Brunnen	brunnen
Sphinx	sphinx
Träume	träume
Maitag	maitag
König	könig
Abend	abend
An	an
der	der
Ecke	ecke
Heilige	heilige
Das	das
arme	arme
Kind	kind
Wenns	wenns
Frühling	frühling
wird	wird
Als	als
ich	ich
die	die
Universität	universität
bezog	bezog
Superavit	superavit
Trotzdem	trotzdem
Herbststimmung	herbststimmung
An	an
Julius	julius
Zeyer	zeyer
Der	der
Träumer	träumer
I	i
II	ii
Die	die
Mutter	mutter
Unser	unser
Abendgang	abendgang
Kajetan	kajetan
Týl	týl
Volksweise	volksweise
Das	das
Volkslied	volkslied
Dorfsonntag	dorfsonntag
Mein	mein
Geburtshaus	geburtshaus
In	in
dubiis	dubiis
I.	i
II.	ii
Barbaren	barbaren
Sommerabend	sommerabend
Gerichtet	gerichtet
Das	das
Märchen	märchen
von	von
der	der
Wolke	wolke
Freiheitsklänge	freiheitsklänge
Nachtbild	nachtbild
Hinter	hinter
Smichov	smichov
Im	im
Sommer	sommer
Am	am
Kirchhof	kirchhof
zu	zu
Königsaal	königsaal
(aula	(aula
regis)	regis)
Vigilien	vigilien
I.	i
II.	ii
III.	iii
IV.	iv
Der	der
letzte	letzte
Sonnengruß	sonnengruß
Kaiser	kaiser
Rudolf	rudolf
Aus	aus
dem	dem
Dreißigjährigen	dreißigjährigen
Kriege.	kriege
1.	1
Krieg	krieg
2.	2
Alea	alea
jacta	jacta
est	est
3.	3
Kriegsknechts-Sang	kriegsknechts-sang
4.	4
Kriegsknechts-Rang	kriegsknechts-rang
5.	5
Beim	beim
Kloster	kloster
6.	6
Ballade	ballade
7.	7
Der	der
Fenstersturz	fenstersturz
8.	8
Gold	gold
9.	9
Szene	szene
10.	10
Feuerlilie	feuerlilie
11.	11
Beim	beim
Friedland	friedland
12.	12
Frieden	frieden
Bei	bei
den	den
Ursulinen	ursulinen
Aus	aus
der	der
Kinderzeit	kinderzeit
Rabbi	rabbi
Löw	löw
Die	die
alte	alte
Uhr	uhr
Kämpfen	kämpfen
Siegen	siegen
Im	im
Herbst	herbst
Der	der
kleine	kleine
"""Drateník"""	"""drateník"""
In	in
der	der
Vorstadt	vorstadt
Bei	bei
St.	st
Heinrich	heinrich
Mittelböhmische	mittelböhmische
Landschaft	landschaft
Das	das
Heimatlied	heimatlied
TRAUMGEKRÖNT	traumgekrönt
(1897)	(1897)
Königslied	königslied
Träumen	träumen
I.	i
Mein	mein
Herz	herz
gleicht	gleicht
II.	ii
Ich	ich
denke	denke
an:	an:
III.	iii
Mir	mir
ist:	ist:
ein	ein
Häuschen	häuschen
wär	wär
mein	mein
eigen	eigen
IV.	iv
Eine	eine
alte	alte
Weide	weide
trauert	trauert
V.	v
Die	die
Rose	rose
hier,	hier
die	die
gelbe	gelbe
VI.	vi
Wir	wir
saßen	saßen
beisammen	beisammen
VII.	vii
Ich	ich
wollt,	wollt
sie	sie
hätten	hätten
statt	statt
der	der
Wiege	wiege
VIII.	viii
Jene	jene
Wolke	wolke
will	will
ich	ich
neiden	neiden
IX.	ix
Mir	mir
ist:	ist:
Die	die
Welt	welt
X.	x
Wenn	wenn
das	das
Volk,	volk
das	das
drohnenträge	drohnenträge
XI.	xi
Weiß	weiß
ich	ich
denn,	denn
wie	wie
mir	mir
geschieht	geschieht
XII.	xii
Schon	schon
blinzt	blinzt
XIII.	xiii
Fahlgrauer	fahlgrauer
Himmel	himmel
XIV.	xiv
Die	die
Nacht	nacht
liegt	liegt
duftschwer	duftschwer
XV.	xv
Im	im
Schoß	schoß
der	der
silberhellen	silberhellen
XVI.	xvi
Abendläuten	abendläuten
XVII.	xvii
Weltenweiter	weltenweiter
Wandrer	wandrer
XVIII.	xviii
Möchte	möchte
mir	mir
ein	ein
blondes	blondes
Glück	glück
erkiesen	erkiesen
XIX.	xix
Vor	vor
mir	mir
liegt	liegt
ein	ein
Felsenmeer	felsenmeer
XX.	xx
Die	die
Fenster	fenster
glühten	glühten
XXI.	xxi
Es	es
gibt	gibt
so	so
wunderweiße	wunderweiße
Nächte	nächte
XXII.	xxii
Wie	wie
eine	eine
Riesenwunderblume	riesenwunderblume
XXIII.	xxiii
Wie,	wie
jegliches	jegliches
Gefühl	gefühl
vertiefend.	vertiefend
XXIV.	xxiv
O	o
gäbs	gäbs
doch	doch
Sterne	sterne
XXV.	xxv
Mir	mir
ist	ist
so	so
weh,	weh
so	so
weh,	weh
als	als
müßte	müßte
XXVI.	xxvi
Matt	matt
durch	durch
der	der
Tale	tale
XXVII.	xxvii
Ein	ein
Erinnern,	erinnern
das	das
ich	ich
heilig	heilig
heiße	heiße
XXVIII.	xxviii
Glaubt	glaubt
mir	mir
LIEBEN	lieben
I.	i
Und	und
wie	wie
mag	mag
die	die
Liebe	liebe
II.	ii
Das	das
war	war
der	der
Tag	tag
III.	iii
Einen	einen
Maitag	maitag
mit	mit
dir	dir
beisammen	beisammen
sein	sein
IV.	iv
Ich	ich
weiß	weiß
nicht,	nicht
wie	wie
mir	mir
geschieht	geschieht
V.	v
Ob	ob
dus	dus
noch	noch
denkst	denkst
VI.	vi
Wir	wir
saßen	saßen
beide	beide
in	in
Gedanken	gedanken
VII.	vii
Blondköpfchen	blondköpfchen
hinter	hinter
den	den
Scheiben	scheiben
VIII.	viii
Die	die
Liese	liese
wird	wird
heute	heute
IX.	ix
Ich	ich
träume	träume
tief	tief
im	im
Weingerank	weingerank
X.	x
Es	es
ist	ist
ein	ein
Weltmeer	weltmeer
voller	voller
Lichte	lichte
XI.	xi
Ich	ich
war	war
noch	noch
ein	ein
Knabe	knabe
XII.	xii
Die	die
Nacht	nacht
im	im
Silberfunkenkleid	silberfunkenkleid
XIII.	xiii
Schon	schon
starb	starb
der	der
Tag	tag
XIV.	xiv
Es	es
leuchteten	leuchteten
im	im
Garten	garten
die	die
Syringen	syringen
XV.	xv
Oft	oft
scheinst	scheinst
du	du
mir	mir
ein	ein
Kind	kind
XVI.	xvi
Nach	nach
einem	einem
Glück	glück
XVII.	xvii
Wir	wir
gingen	gingen
XVIII.	xviii
Im	im
Frühling	frühling
oder	oder
im	im
Traume	traume
XIX.	xix
Sie	sie
hatte	hatte
keinerlei	keinerlei
Geschichte	geschichte
XX.	xx
Man	man
merkte:	merkte:
der	der
Herbst	herbst
kam	kam
XXI.	xxi
Manchmal	manchmal
da	da
ist	ist
mir	mir
XXII.	xxii
Es	es
ist	ist
lang	lang
ADVENT	advent
(1898)	(1898)
Advent.	advent
Es	es
treibt	treibt
der	der
Wind	wind
GABEN	gaben
Das	das
ist	ist
mein	mein
Streit	streit
Du	du
meine	meine
heilige	heilige
Einsamkeit	einsamkeit
Der	der
Bach	bach
hat	hat
leise	leise
Melodien	melodien
Ich	ich
liebe	liebe
vergessene	vergessene
Flurmadonnen	flurmadonnen
Warst	warst
du	du
ein	ein
Kind	kind
in	in
froher	froher
Schar	schar
Pfauenfeder:	pfauenfeder:
in	in
deiner	deiner
Feinheit	feinheit
Oft	oft
denk	denk
ich	ich
auf	auf
der	der
Alltagsreise	alltagsreise
Damit	damit
ich	ich
glücklich	glücklich
wäre	wäre
An	an
manchem	manchem
Tag	tag
ist	ist
meine	meine
Seele	seele
still	still
Nennt	nennt
ihr	ihr
das	das
Seele,	seele
was	was
so	so
zage	zage
zirpt	zirpt
Die	die
hohen	hohen
Tannen	tannen
atmen	atmen
heiser	heiser
Der	der
Abend	abend
kommt	kommt
von	von
weit	weit
gegangen	gegangen
Das	das
Wetter	wetter
war	war
grau	grau
und	und
grell	grell
Sonne	sonne
verlodert	verlodert
am	am
Himmelsrain	himmelsrain
Du	du
arme,	arme
alte	alte
Kapelle	kapelle
Die	die
Mädchen	mädchen
singen	singen
Lehnen	lehnen
im	im
Abendgarten	abendgarten
beide	beide
Eine	eine
der	der
weißen	weißen
Vestageweihten	vestageweihten
Im	im
Kreise	kreise
der	der
Barone	barone
Ein	ein
weißes	weißes
Schloß	schloß
in	in
weißer	weißer
Einsamkeit	einsamkeit
Irgendwo	irgendwo
muß	muß
es	es
Paläste	paläste
geben	geben
Im	im
Schlosse	schlosse
mit	mit
den	den
roten	roten
Zinken	zinken
Einmal	einmal
möcht	möcht
ich	ich
dich	dich
wiederschauen	wiederschauen
Es	es
kommt	kommt
in	in
prunkenden	prunkenden
Gebreiten	gebreiten
Horch,	horch
verhallt	verhallt
nicht	nicht
ein	ein
scheuer	scheuer
Der	der
König	könig
Abend	abend
weiß	weiß
sich	sich
schwach	schwach
Der	der
Tag	tag
entschlummert	entschlummert
leise	leise
FAHRTEN	fahrten
Venedig	venedig
I.	i
Fremdes	fremdes
Rufen	rufen
II.	ii
Immer	immer
ist	ist
mir,	mir
daß	daß
die	die
leisen	leisen
III.	iii
Mein	mein
Ruder	ruder
sang	sang
IV.	iv
Ave	ave
weht	weht
von	von
den	den
Türmen	türmen
her	her
Englar	englar
im	im
Eppan	eppan
Tenno	tenno
Casablanca	casablanca
Arco	arco
I	i
mulini	mulini
Bodensee	bodensee
Konstanz	konstanz
FUNDE	funde
Wenn	wenn
wie	wie
ein	ein
leises	leises
Flügelbreiten	flügelbreiten
Ich	ich
möchte	möchte
draußen	draußen
dir	dir
begegnen	begegnen
Ich	ich
mußte	mußte
denken	denken
unverwandt	unverwandt
Fremd	fremd
ist,	ist
was	was
deine	deine
Lippen	lippen
sagen	sagen
Du	du
bist	bist
so	so
fremd,	fremd
du	du
bist	bist
so	so
bleich	bleich
Weißt	weißt
du,	du
ich	ich
will	will
mich	mich
schleichen	schleichen
Bei	bei
dir	dir
ist	ist
es	es
traut	traut
Die	die
Nacht	nacht
holt	holt
heimlich	heimlich
Du,	du
Hände,	hände
welche	welche
immer	immer
geben	geben
Bist	bist
gewandert	gewandert
durch	durch
Wähn	wähn
und	und
Weh	weh
Will	will
dir	dir
den	den
Frühling	frühling
zeigen	zeigen
Und	und
dieser	dieser
Frühling	frühling
macht	macht
dich	dich
bleicher	bleicher
Mir	mir
ist:	ist:
ich	ich
muß	muß
dir	dir
den	den
Brautnachtstrauß	brautnachtstrauß
Bist	bist
du	du
so	so
müd?	müd?
Ich	ich
will	will
dich	dich
leise	leise
leiten	leiten
Du:	du:
ein	ein
Schloß	schloß
an	an
wellenschweren	wellenschweren
Purpurrote	purpurrote
Rosen	rosen
binden	binden
Ein	ein
Händeineinanderlegen	händeineinanderlegen
Du	du
willst	willst
dir	dir
einen	einen
Pagen	pagen
küren?	küren?
Abend	abend
hat	hat
mich	mich
müd	müd
gemacht	gemacht
Was	was
reißt	reißt
ihr	ihr
aus	aus
meinen	meinen
blassen,	blassen
blauen	blauen
Mir	mir
war	war
so	so
weh.	weh
Ich	ich
sah	sah
dich	dich
blaß	blaß
und	und
bang	bang
Wie	wie
meine	meine
Träume	träume
nach	nach
dir	dir
schrein	schrein
Und	und
du	du
warst	warst
schön.	schön
In	in
deinem	deinem
Auge	auge
schien	schien
Du	du
hast	hast
so	so
große	große
Augen,	augen
Kind	kind
Du	du
sahst	sahst
in	in
hohe	hohe
Lichthofmauern	lichthofmauern
Sie	sie
war:	war:
Ein	ein
unerwünschtes	unerwünschtes
Kind	kind
Wenn	wenn
ich	ich
dir	dir
ernst	ernst
ins	ins
Auge	auge
schaute	schaute
Ja,	ja
früher,	früher
wenn	wenn
ich	ich
an	an
dich	dich
dachte	dachte
Ich	ich
ging	ging
durch	durch
ein	ein
Land	land
Weißt	weißt
du,	du
daß	daß
ich	ich
dir	dir
müde	müde
Rosen	rosen
flechte	flechte
Kannst	kannst
du	du
die	die
alten	alten
Lieder	lieder
noch	noch
spielen	spielen
Wo	wo
sind	sind
die	die
Lilien	lilien
aus	aus
dem	dem
hohen	hohen
Glas	glas
MÜTTER	mütter
Ich	ich
sehne	sehne
oft	oft
nach	nach
einer	einer
Mutter	mutter
mich	mich
Mir	mir
ist	ist
oft,	oft
daß	daß
ich	ich
fragen	fragen
müßt	müßt
Ich	ich
gehe	gehe
unter	unter
roten	roten
Zweigen	zweigen
Leise	leise
weht	weht
ein	ein
erstes	erstes
Blühn	blühn
Und	und
reden	reden
sie	sie
dir	dir
jetzt	jetzt
von	von
Schande	schande
Der	der
blonde	blonde
Knabe	knabe
singt	singt
Die	die
Mutter	mutter
Manchmal	manchmal
fühlt	fühlt
sie:	sie:
Das	das
Leben	leben
ist	ist
groß	groß
End	end
of	of
the	the
Project	project
Gutenberg	gutenberg
EBook	ebook
of	of
Erste	erste
Gedichte,	gedichte
by	by
Rainer	rainer
Maria	maria
Rilke	rilke
***	***
END	end
OF	of
THIS	this
PROJECT	project
GUTENBERG	gutenberg
EBOOK	ebook
ERSTE	erste
GEDICHTE	gedichte
***	***
*****	*****
This	this
file	file
should	should
be	be
named	named
33821-0.txt	33821-0.txt
or	or
33821-0.zip	33821-0.zip
*****	*****
This	this
and	and
all	all
associated	associated
files	files
of	of
various	various
formats	formats
will	will
be	be
found	found
in:	in:
http://www.gutenberg.org/3/3/8/2/33821/	http://www.gutenberg.org/3/3/8/2/33821/
Produced	produced
by	by
Marc	marc
D'Hooghe	d'hooghe
at	at
http://www.freeliterature.org	http://www.freeliterature.org
Updated	updated
editions	editions
will	will
replace	replace
the	the
previous	previous
one--the	one--the
old	old
editions	editions
will	will
be	be
renamed.	renamed
Creating	creating
the	the
works	works
from	from
public	public
domain	domain
print	print
editions	editions
means	means
that	that
no	no
one	one
owns	owns
a	a
United	united
States	states
copyright	copyright
in	in
these	these
works,	works
so	so
the	the
Foundation	foundation
(and	(and
you!)	you!)
can	can
copy	copy
and	and
distribute	distribute
it	it
in	in
the	the
United	united
States	states
without	without
permission	permission
and	and
without	without
paying	paying
copyright	copyright
royalties.	royalties
Special	special
rules,	rules
set	set
forth	forth
in	in
the	the
General	general
Terms	terms
of	of
Use	use
part	part
of	of
this	this
license,	license
apply	apply
to	to
copying	copying
and	and
distributing	distributing
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works	works
to	to
protect	protect
the	the
PROJECT	project
GUTENBERG-tm	gutenberg-tm
concept	concept
and	and
trademark.	trademark
Project	project
Gutenberg	gutenberg
is	is
a	a
registered	registered
trademark,	trademark
and	and
may	may
not	not
be	be
used	used
if	if
you	you
charge	charge
for	for
the	the
eBooks,	ebooks
unless	unless
you	you
receive	receive
specific	specific
permission.	permission
If	if
you	you
do	do
not	not
charge	charge
anything	anything
for	for
copies	copies
of	of
this	this
eBook,	ebook
complying	complying
with	with
the	the
rules	rules
is	is
very	very
easy.	easy
You	you
may	may
use	use
this	this
eBook	ebook
for	for
nearly	nearly
any	any
purpose	purpose
such	such
as	as
creation	creation
of	of
derivative	derivative
works,	works
reports,	reports
performances	performances
and	and
research.	research
They	they
may	may
be	be
modified	modified
and	and
printed	printed
and	and
given	given
away--you	away--you
may	may
do	do
practically	practically
ANYTHING	anything
with	with
public	public
domain	domain
eBooks.	ebooks
Redistribution	redistribution
is	is
subject	subject
to	to
the	the
trademark	trademark
license,	license
especially	especially
commercial	commercial
redistribution.	redistribution
***	***
START:	start:
FULL	full
LICENSE	license
***	***
THE	the
FULL	full
PROJECT	project
GUTENBERG	gutenberg
LICENSE	license
PLEASE	please
READ	read
THIS	this
BEFORE	before
YOU	you
DISTRIBUTE	distribute
OR	or
USE	use
THIS	this
WORK	work
To	to
protect	protect
the	the
Project	project
Gutenberg-tm	gutenberg-tm
mission	mission
of	of
promoting	promoting
the	the
free	free
distribution	distribution
of	of
electronic	electronic
works,	works
by	by
using	using
or	or
distributing	distributing
this	this
work	work
(or	(or
any	any
other	other
work	work
associated	associated
in	in
any	any
way	way
with	with
the	the
phrase	phrase
"""Project"	"""project"
"Gutenberg""),"	"gutenberg"")"
you	you
agree	agree
to	to
comply	comply
with	with
all	all
the	the
terms	terms
of	of
the	the
Full	full
Project	project
Gutenberg-tm	gutenberg-tm
License	license
(available	(available
with	with
this	this
file	file
or	or
online	online
at	at
http://gutenberg.org/license).	http://gutenberg.org/license)
Section	section
1.	1
General	general
Terms	terms
of	of
Use	use
and	and
Redistributing	redistributing
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works	works
1.A.	1.a
By	by
reading	reading
or	or
using	using
any	any
part	part
of	of
this	this
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
work,	work
you	you
indicate	indicate
that	that
you	you
have	have
read,	read
understand,	understand
agree	agree
to	to
and	and
accept	accept
all	all
the	the
terms	terms
of	of
this	this
license	license
and	and
intellectual	intellectual
property	property
(trademark/copyright)	(trademark/copyright)
agreement.	agreement
If	if
you	you
do	do
not	not
agree	agree
to	to
abide	abide
by	by
all	all
the	the
terms	terms
of	of
this	this
agreement,	agreement
you	you
must	must
cease	cease
using	using
and	and
return	return
or	or
destroy	destroy
all	all
copies	copies
of	of
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works	works
in	in
your	your
possession.	possession
If	if
you	you
paid	paid
a	a
fee	fee
for	for
obtaining	obtaining
a	a
copy	copy
of	of
or	or
access	access
to	to
a	a
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
work	work
and	and
you	you
do	do
not	not
agree	agree
to	to
be	be
bound	bound
by	by
the	the
terms	terms
of	of
this	this
agreement,	agreement
you	you
may	may
obtain	obtain
a	a
refund	refund
from	from
the	the
person	person
or	or
entity	entity
to	to
whom	whom
you	you
paid	paid
the	the
fee	fee
as	as
set	set
forth	forth
in	in
paragraph	paragraph
1.E.8.	1.e.8
1.B.	1.b
"""Project"	"""project"
"Gutenberg"""	"gutenberg"""
is	is
a	a
registered	registered
trademark.	trademark
It	it
may	may
only	only
be	be
used	used
on	on
or	or
associated	associated
in	in
any	any
way	way
with	with
an	an
electronic	electronic
work	work
by	by
people	people
who	who
agree	agree
to	to
be	be
bound	bound
by	by
the	the
terms	terms
of	of
this	this
agreement.	agreement
There	there
are	are
a	a
few	few
things	things
that	that
you	you
can	can
do	do
with	with
most	most
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works	works
even	even
without	without
complying	complying
with	with
the	the
full	full
terms	terms
of	of
this	this
agreement.	agreement
See	see
paragraph	paragraph
1.C	1.c
below.	below
There	there
are	are
a	a
lot	lot
of	of
things	things
you	you
can	can
do	do
with	with
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works	works
if	if
you	you
follow	follow
the	the
terms	terms
of	of
this	this
agreement	agreement
and	and
help	help
preserve	preserve
free	free
future	future
access	access
to	to
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works.	works
See	see
paragraph	paragraph
1.E	1.e
below.	below
1.C.	1.c
The	the
Project	project
Gutenberg	gutenberg
Literary	literary
Archive	archive
Foundation	foundation
"(""the"	"(""the"
"Foundation"""	"foundation"""
or	or
PGLAF),	pglaf)
owns	owns
a	a
compilation	compilation
copyright	copyright
in	in
the	the
collection	collection
of	of
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works.	works
Nearly	nearly
all	all
the	the
individual	individual
works	works
in	in
the	the
collection	collection
are	are
in	in
the	the
public	public
domain	domain
in	in
the	the
United	united
States.	states
If	if
an	an
