The	﻿the
Venezianergläs.	venezianergläs
Ich	ich
las	las
in	in
einem	einem
Band	band
Gedichte	gedichte
gar	gar
lange;	lange;
wie	wie
die	die
Zeit	zeit
entschwand!	entschwand
Jetzt	jetzt
erst	erst
im	im
Abenddämmerlicbte	abenddämmerlicbte
leg	leg
ich	ich
sie	sie
selig	selig
aus	aus
der	der
Hand.	hand
Mir	mir
ist,	ist
von	von
göttlichen	göttlichen
Problemen	problemen
hätt	hätt
ich	ich
die	die
Lösung	lösung
jetzt	jetzt
erlauscht,--	erlauscht,--
hat	hat
mich	mich
der	der
Hauch	hauch
der	der
Chrysanthemen,	chrysanthemen
hat	hat
mich	mich
Vrchlickýs	vrchlickýs
Buch	buch
berauscht?	berauscht?
IM	im
KREUZGANG	kreuzgang
VON	von
LORETTO	loretto
Still	still
ist	ist
es	es
in	in
dem	dem
Kreuzgang,	kreuzgang
in	in
dem	dem
alten,	alten
wo	wo
über	über
krausen	krausen
Säulenarabesken	säulenarabesken
herniederschaun	herniederschaun
aus	aus
halb	halb
verwischten	verwischten
Fresken	fresken
geheimnisvolle	geheimnisvolle
Heiligengestalten.	heiligengestalten
Wo	wo
eine	eine
Wachsmadonna,	wachsmadonna
die	die
man	man
zeiht	zeiht
so	so
manchen	manchen
gnadenvollen	gnadenvollen
Heilmirakels,	heilmirakels
prangt	prangt
hinterm	hinterm
grauen	grauen
Glas	glas
des	des
Tabernakels	tabernakels
im	im
silberübersäten	silberübersäten
Seidenkleid.	seidenkleid
Spannt	spannt
über	über
Blättergold	blättergold
Spätsommerhaar	spätsommerhaar
sich	sich
draußen	draußen
auch	auch
im	im
Klosterhof	klosterhof
Lorettos,--	lorettos,--
vor	vor
einem	einem
Bild	bild
im	im
Stile	stile
Tintorettos	tintorettos
steht	steht
selig	selig
still	still
ein	ein
junges	junges
Liebespaar.	liebespaar
DER	der
JUNGE	junge
BILDNER	bildner
Ich	ich
muß	muß
nach	nach
Rom;	rom;
in	in
unser	unser
Städtchen	städtchen
kehr	kehr
ich	ich
aufs	aufs
Jahr	jahr
mit	mit
Ruhm	ruhm
zurück;	zurück;
nicht	nicht
weinen;	weinen;
sieh,	sieh
geliebtes	geliebtes
Mädchen,	mädchen
ich	ich
mach	mach
in	in
Rom	rom
mein	mein
Meisterstück.	meisterstück
Er	er
sprachs;	sprachs;
dann	dann
zog	zog
er	er
fort	fort
im	im
Rausche	rausche
durch	durch
jene	jene
Welt,	welt
die	die
er	er
erhofft;	erhofft;
doch	doch
war	war
ihm,	ihm
seine	seine
Seele	seele
lausche	lausche
auf	auf
einen	einen
innern	innern
Vorwurf	vorwurf
oft.	oft
Die	die
Unrast	unrast
trieb	trieb
ihn	ihn
heim,	heim
die	die
arge:	arge:
Er	er
bildete	bildete
mit	mit
nassem	nassem
Blick	blick
sein	sein
armes,	armes
fahles	fahles
Lieb	lieb
im	im
Sarge,	sarge
und	und
das--das	das--das
war	war
sein	sein
Meisterstück.	meisterstück
FRÜHLING	frühling
Die	die
Vögel	vögel
jubeln--lichtgeweckt--,	jubeln--lichtgeweckt--
die	die
blauen	blauen
Weiten	weiten
füllt	füllt
der	der
Schall	schall
aus;	aus;
im	im
Kaiserpark	kaiserpark
das	das
alte	alte
Ballhaus	ballhaus
ist	ist
ganz	ganz
mit	mit
Blüten	blüten
überdeckt.	überdeckt
Die	die
Sonne	sonne
schreibt	schreibt
sich	sich
hoffnungsvoll	hoffnungsvoll
ins	ins
junge	junge
Gras	gras
mit	mit
großen	großen
Lettern.	lettern
Nur	nur
dorten	dorten
unter	unter
welken	welken
Blättern	blättern
seufzt	seufzt
traurig	traurig
noch	noch
ein	ein
Steinapoll.	steinapoll
Da	da
naht	naht
ein	ein
Lüftchen,	lüftchen
fegt	fegt
im	im
Tanz	tanz
hinweg	hinweg
das	das
gelbe	gelbe
Blattgeranke	blattgeranke
und	und
legt	legt
um	um
seine	seine
Stirn,	stirn
die	die
blanke,	blanke
den	den
blauenden	blauenden
Syringenkranz.	syringenkranz
LAND	land
UND	und
VOLK	volk
...Gott	gott
war	war
guter	guter
Laune.	laune
Geizen	geizen
ist	ist
doch	doch
wohl	wohl
nicht	nicht
seine	seine
Art;	art;
und	und
er	er
lächelte:	lächelte:
da	da
ward	ward
Böhmen,	böhmen
reich	reich
an	an
tausend	tausend
Reizen.	reizen
Wie	wie
erstarrtes	erstarrtes
Licht	licht
liegt	liegt
Weizen	weizen
zwischen	zwischen
Bergen,	bergen
waldbehaart,	waldbehaart
und	und
der	der
Baum,	baum
den	den
dichtgeschaart	dichtgeschaart
Früchte	früchte
drücken,	drücken
fordert	fordert
Spreizen.	spreizen
Gott	gott
gab	gab
Hütten;	hütten;
voll	voll
von	von
Schafen	schafen
Ställe;	ställe;
und	und
der	der
Dirne	dirne
klafft	klafft
vor	vor
Gesundheit	gesundheit
fast	fast
das	das
Mieder.	mieder
Gab	gab
den	den
Burschen	burschen
all,	all
den	den
braven,	braven
in	in
die	die
raube	raube
Faust	faust
die	die
Kraft,	kraft
in	in
das	das
Herz--die	herz--die
Heimatlieder.	heimatlieder
DER	der
ENGEL	engel
Hin	hin
geh	geh
ich	ich
durch	durch
die	die
Malvasinka	malvasinka
die	die
Kinderreih,	kinderreih
wo	wo
sanft	sanft
und	und
gut	gut
die	die
kleine	kleine
Anka	anka
oder	oder
Ninka	ninka
in	in
ihrem	ihrem
letzten	letzten
Bettchen	bettchen
ruht.	ruht
Auf	auf
einem	einem
schmalen	schmalen
Schollenhügel	schollenhügel
kniet,	kniet
ganz	ganz
versteckt	versteckt
in	in
hohem	hohem
Mohn,	mohn
mit	mit
staubigem,	staubigem
gebrochnem	gebrochnem
Flügel	flügel
ein	ein
Engelchen	engelchen
aus	aus
rohem	rohem
Ton.	ton
Das	das
flügellahme	flügellahme
Kindchen	kindchen
flößte	flößte
mir	mir
Mitleid	mitleid
ein,--das	ein,--das
arme	arme
Ding....	ding
Da,	da
sieh!	sieh
Von	von
seinen	seinen
Lippen	lippen
löste	löste
sich	sich
leicht	leicht
ein	ein
kleiner	kleiner
Schmetterling.--	schmetterling.--
ALLERSEELEN	allerseelen
I	i
Rings	rings
liegt	liegt
der	der
Tag	tag
von	von
Allerseelen	allerseelen
voll	voll
Wehmut	wehmut
und	und
voll	voll
Blütenduft,	blütenduft
und	und
hundert	hundert
bunte	bunte
Lichter	lichter
schwelen	schwelen
vom	vom
Feld	feld
des	des
Friedens	friedens
in	in
